gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude
266531,752,1506419516,5804581.7839,550913.138528,9.748137000006691,52.38911800001865
266532,752,1506419519,5804583.11934,550913.192773,9.74813800000326,52.38913000003908
266533,752,1506419523,5804582.23655,550913.8825,9.748148000001365,52.38912199997515
266534,752,1506419526,5804583.46147,550914.005948,9.748150000004213,52.38913300003004
266535,752,1506419528,5804586.02463,550914.455849,9.74815699999595,52.3891559999623
266536,752,1506419529,5804587.36007,550914.510094,9.7481579999989,52.38916799998247
266537,752,1506419533,5804589.0299,550914.628939,9.748159999998425,52.3891830000258
266538,753,1506425353,5804592.80883,550914.31761,9.74815600000382,52.38921700002736
266539,753,1506425356,5804592.0246,550913.781247,9.748147999996725,52.389209999995714
266540,753,1506425378,5804590.2344,550912.778875,9.748133000002532,52.38919400003567
266541,753,1506425379,5804589.03694,550915.309461,9.748170000006429,52.38918300002728
266542,753,1506425386,5804588.1795,550918.449065,9.7482160000014,52.38917500001013
266543,753,1506425388,5804588.64272,550920.213818,9.748242000000058,52.38917900004266
266544,753,1506425389,5804587.88806,550922.535647,9.748276000003631,52.38917200000911
266545,753,1506425391,5804587.05597,550928.125131,9.748357999993098,52.38916399995678
266546,753,1506425393,5804584.12465,550935.097532,9.748459999995486,52.38913699996795
266547,753,1506425395,5804581.32429,550943.974253,9.748589999993175,52.38911099997903
282474,778,1540641769,5804414.68628,550587.96631,9.74333400000352,52.38764600001279
282475,778,1540641774,5804412.91852,550589.141528,9.743351000000716,52.38762999996197
282476,778,1540641777,5804412.14553,550589.693967,9.743359000003736,52.38762300004275
282477,778,1540641785,5804412.13363,550588.537039,9.743341999996286,52.38762299996064
282478,778,1540641789,5804412.56386,550587.103321,9.743321000003895,52.38762700002413
282479,778,1540641799,5804412.57575,550588.260248,9.743337999996712,52.38762700001945
282480,778,1540641822,5804411.23962,550588.137857,9.743335999997644,52.38761500004376
282481,778,1540641828,5804410.80729,550589.367412,9.7433539999937,52.38761099996319
282482,778,1540641830,5804408.70586,550590.546062,9.743371000006432,52.38759200003016
282483,778,1540641831,5804407.05143,550591.924303,9.743391000004715,52.38757700000693
282484,778,1540641832,5804405.3935,550592.962271,9.743405999993325,52.387561999958606
282485,778,1540641833,5804403.29137,550594.072869,9.743422000004442,52.38754300001364
282486,778,1540641834,5804400.74432,550595.18804,9.74343799999594,52.38751999998793
282487,778,1540641835,5804398.64009,550596.094475,9.743450999996488,52.38750100002661
282488,778,1540641836,5804397.75446,550596.511951,9.743457000005051,52.38749299998294
282489,778,1540641837,5804396.98426,550597.336611,9.743468999993397,52.38748599998181
282490,778,1540641838,5804394.7737,550598.720575,9.743488999999812,52.38746600002298
282491,778,1540641839,5804392.34557,550600.583211,9.7435160000049,52.38744399995559
282492,778,1540641841,5804391.01434,550600.937206,9.743520999996155,52.38743200000637
282493,778,1540641845,5804389.33683,550600.069645,9.743508000005592,52.38741700002628
282494,778,1540641846,5804387.9972,550599.606982,9.743501000006846,52.38740500003531
282495,778,1540641847,5804384.66316,550599.913504,9.743504999999114,52.38737499999871
282496,778,1540641848,5804380.89541,550601.313481,9.743525000006478,52.38734100002742
282497,778,1540641849,5804377.46833,550603.390579,9.743554999996883,52.38730999996309
282498,778,1540641850,5804374.15599,550605.806812,9.743589999992995,52.38728000001449
282499,778,1540641851,5804371.17663,550608.151563,9.743623999999496,52.38725300002191
282500,778,1540641852,5804370.2938,550608.841263,9.743633999993984,52.38724499997876
282501,778,1540641853,5804368.64148,550610.423687,9.743657000005737,52.38723000000603
282502,778,1540641854,5804366.10493,550612.559702,9.74368799999828,52.38720699997696
282503,778,1540641855,5804362.34208,550614.43608,9.743714999999192,52.38717299998551
282504,778,1540641856,5804358.13012,550615.908704,9.74373599999876,52.38713499998948
282505,778,1540641857,5804353.47325,550617.385906,9.743757000003134,52.38709300000029
282506,778,1540641858,5804333.98045,550625.685839,9.743876000005551,52.38691700004133
282507,778,1540641859,5804330.65341,550626.672938,9.743889999997467,52.386886999991496
282508,778,1540641860,5804326.78074,550628.686595,9.743918999995646,52.38685200002131
282509,778,1540641861,5804322.14417,550632.137436,9.743968999994747,52.38680999998748
282510,778,1540641862,5804318.37923,550633.809678,9.743993000005656,52.38677600002023
282511,778,1540641863,5804315.39498,550635.67808,9.74402000000462,52.38674900000416
282512,778,1540641864,5804312.85704,550637.678019,9.74404900000182,52.38672599996884
282513,778,1540641865,5804310.3016,550637.976561,9.744053000004753,52.38670299995795
282514,778,1540641866,5804303.20053,550639.751195,9.74407799999696,52.38663900000593
282515,778,1540641867,5804297.66785,550642.598712,9.74411899999522,52.38658900002922
282516,778,1540641868,5804291.35587,550645.38619,9.744158999992626,52.386531999990645
282517,778,1540641869,5804285.0453,550648.309788,9.744200999996968,52.38647500002275
282518,778,1540641870,5804280.41155,550652.032902,9.744255000004646,52.38643300003348
282519,778,1540641871,5804274.45637,550657.062831,9.744328000000474,52.38637899998496
282520,778,1540641872,5804269.05314,550661.678709,9.744395000000372,52.38633000001455
282521,778,1540641873,5804262.30117,550664.947203,9.744442000002916,52.38626900003747
282522,778,1540641874,5804255.89269,550669.165065,9.744503000001838,52.38621100003139
282523,778,1540641875,5804245.36948,550673.493361,9.744564999997907,52.38611599996865
282524,778,1540641876,5804239.83822,550676.477062,9.74460799999824,52.38606599998402
282525,778,1540641877,5804233.55079,550681.646611,9.744682999997426,52.38600899999817
282526,778,1540641878,5804228.13076,550684.629183,9.74472600000085,52.38595999998907
282527,778,1540641879,5804221.39492,550689.46305,9.744795999999658,52.385898999974
282528,778,1540641880,5804214.99137,550694.157379,9.744863999999565,52.38584099999254
282529,778,1540641881,5804209.12994,550697.484845,9.744912000006693,52.385787999972685
282530,778,1540641882,5804203.26221,550700.199801,9.744951000005708,52.38573500001232
282531,778,1540641883,5804198.17167,550702.770628,9.744987999997743,52.3856890000172
282532,778,1540641884,5804193.09445,550706.634555,9.745043999994774,52.38564300000867
292804,795,1514469134,5804188.42919,550707.295197,9.745053000004486,52.385600999978365
292805,795,1514469135,5804191.85272,550704.877661,9.745018000004674,52.385632000034974
292806,795,1514469136,5804196.50676,550703.128101,9.74499299999748,52.38567400003036
292807,795,1514469137,5804200.70677,550700.49838,9.744954999998724,52.38571199996572
292808,795,1514469138,5804204.46819,550698.485763,9.744926000005798,52.385746000000914
292809,795,1514469140,5804210.33522,550695.702752,9.744886000002056,52.38579899996113
292810,795,1514469144,5804212.43103,550693.979553,9.74486099999401,52.385818000006005
292811,795,1514469145,5804214.20226,550693.144538,9.744849000001771,52.38583399997262
292812,795,1514469147,5804216.76611,550693.66265,9.74485699999766,52.3858570000094
292813,795,1514469149,5804217.55171,550694.335204,9.744866999993668,52.38586399997901
292814,795,1514469157,5804216.3247,550694.007519,9.744862000006822,52.38585299997904
292815,795,1514469158,5804215.89101,550695.101017,9.74487799999971,52.385849000038775
292816,795,1514469160,5804214.6703,550695.385847,9.744881999999912,52.38583799996561
292817,795,1514469167,5804212.09805,550694.051047,9.74486199999716,52.38581500002778
292818,795,1514469169,5804213.76787,550694.169979,9.744863999993772,52.38583000004217
292819,795,1514469171,5804213.33347,550695.195421,9.744878999996224,52.38582600001982
292820,795,1514469176,5804212.87874,550694.247201,9.744865000002868,52.385821999963824
292821,796,1514479213,5804217.05003,550688.827148,9.744786000006098,52.38585999998773
292822,796,1514479217,5804220.03916,550687.435078,9.744766000001476,52.3858869999551
292823,796,1514479225,5804219.60477,550688.460518,9.744781000004306,52.38588300003521
292824,796,1514479229,5804217.94196,550689.022156,9.744788999995675,52.38586800003564
292825,796,1514479260,5804217.50616,550689.911482,9.744801999996463,52.38586400003802
292826,796,1514479264,5804216.73667,550690.804245,9.744815000004724,52.38585699997888
292827,796,1514479268,5804216.74719,550691.825104,9.744830000004134,52.38585700004285
292828,796,1514479354,5804214.96894,550691.979545,9.744831999992837,52.385840999976935
292829,796,1514479387,5804213.75104,550692.536604,9.74484000000091,52.38582999996377
292830,796,1514479389,5804210.00084,550695.638131,9.744884999999488,52.38579599999925
292831,796,1514479390,5804200.68574,550698.456655,9.74492499999717,52.38571199995777
292832,796,1514479391,5804200.70257,550700.090035,9.744948999999323,52.38571200001867
292833,796,1514479393,5804195.19796,550705.65998,9.745030000003869,52.38566199998387
292834,796,1514479394,5804196.0997,550706.807792,9.745046999995736,52.385669999981786
292835,796,1514479396,5804188.47056,550711.310599,9.74511200000008,52.385601000021445
302649,818,1543401865,5804695.48918,550871.876179,9.7475479999925,52.39014399998703
302650,818,1543401866,5804689.11473,550868.607225,9.747499000004227,52.39008700000477
302651,818,1543401867,5804682.73114,550864.4536,9.747436999996175,52.390030000028005
302652,818,1543401868,5804675.46054,550860.581364,9.747378999998936,52.38996500001615
302653,818,1543401869,5804666.96503,550856.585657,9.74731900000286,52.38988899999834
302654,818,1543401870,5804659.25656,550853.398505,9.74727100000428,52.389820000017885
302655,818,1543401871,5804651.55512,550850.891855,9.74723299999807,52.3897510000088
302656,818,1543401872,5804645.65231,550850.204198,9.747222000002909,52.38969800000093
302657,818,1543401873,5804640.97019,550849.231692,9.747206999997434,52.38965599995746
302658,818,1543401874,5804640.95121,550847.394304,9.747180000003656,52.38965599998237
302659,818,1543401877,5804640.49786,550846.582283,9.74716799999849,52.38965199996343
302660,818,1543401880,5804639.71083,550845.773709,9.74715599999248,52.38964499997468
302661,818,1543401895,5804637.14767,550845.323778,9.747148999999748,52.38962199998616
302662,818,1543401896,5804634.13468,550844.402082,9.747135000005684,52.38959500001891
302663,818,1543401897,5804630.77535,550842.258903,9.747102999999736,52.38956500002573
302664,818,1543401898,5804628.18688,550839.359111,9.747059999995953,52.38954200000232
302665,818,1543401899,5804625.59209,550835.846852,9.747008000003976,52.389519000017735
302666,818,1543401900,5804621.34083,550833.508699,9.746973000002356,52.389481000001005
302667,818,1543401901,5804615.74359,550830.095498,9.746921999993438,52.38943099996524
302668,818,1543401902,5804608.47865,550826.767572,9.746872000007825,52.38936600003885
302669,818,1543401903,5804601.65721,550823.298936,9.746819999995155,52.38930500003837
302670,818,1543401904,5804595.28349,550820.097906,9.746772000004285,52.389247999996826
302671,818,1543401905,5804588.00942,550815.885272,9.746709000007217,52.38918300004253
302672,818,1543401906,5804581.18236,550811.872188,9.746648999994877,52.389121999973966
302673,818,1543401907,5804574.80514,550808.330867,9.746595999995373,52.38906499997517
302674,818,1543401908,5804568.76301,550804.922197,9.746544999994292,52.38901099996695
302675,818,1543401909,5804563.27422,550801.235569,9.746490000005489,52.38896200003116
302676,818,1543401910,5804557.68122,550798.230605,9.746444999996076,52.388912000017726
302677,818,1543401911,5804553.42928,550795.824334,9.746409000004506,52.38887400003361
302678,818,1543401912,5804549.62997,550794.162046,9.746384000000075,52.38883999997898
302679,818,1543401913,5804547.83979,550793.159621,9.746368999992558,52.388823999975926
302680,818,1543401914,5804545.70891,550791.480112,9.746343999994542,52.38880500002686
302681,818,1543401915,5804543.24785,550790.144309,9.746323999999518,52.388783000002405
302682,818,1543401916,5804541.00433,550788.329839,9.746296999996613,52.3887629999744
302683,818,1543401917,5804539.7724,550787.525831,9.746285000005765,52.38875199999844
302684,818,1543401918,5804538.10047,550787.202782,9.746279999995204,52.38873699998374
