gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude,tile_lat_idx,tile_lon_idx
528951,37,1520698546,5804342.40506,550622.808618,9.743834999994046,52.38699299999388,356,186
528952,37,1520698547,5804337.43621,550626.398986,9.74388699999339,52.38694800002831,361,189
528953,37,1520698548,5804330.2267,550628.446962,9.743915999993987,52.38688300000533,369,191
528954,37,1520698549,5804324.2379,550630.210136,9.743941000002083,52.38682900001308,375,193
528955,37,1520698550,5804318.83114,550634.48566,9.74400300000688,52.38678000000259,380,197
528956,37,1520698551,5804317.16552,550634.775046,9.744007000001764,52.38676499997224,382,197
528957,37,1520698553,5804314.94447,550635.138209,9.744011999996784,52.38674500002166,384,198
528958,37,1520698554,5804312.51076,550636.456445,9.74403100000632,52.38672300001823,386,199
528959,37,1520698555,5804309.52861,550638.529018,9.744060999994597,52.38669599998951,389,201
528960,37,1520698556,5804306.99068,550640.528961,9.744089999996213,52.38667300003366,392,203
528961,37,1520698557,5804303.22644,550642.26927,9.744115000001155,52.38663900003901,396,205
528962,37,1520698558,5804299.79798,550644.210316,9.744142999993972,52.386608000002695,399,207
528963,37,1520698559,5804298.13797,550645.044156,9.744154999998754,52.38659300004086,401,208
528964,37,1520698561,5804296.03654,550646.222855,9.74417199999964,52.3865739999876,403,209
528965,37,1520698562,5804294.71021,550647.053263,9.74418400000527,52.386561999992345,404,209
528966,37,1520698563,5804291.83439,550648.648312,9.744206999999925,52.38653599996091,407,211
528967,37,1520698564,5804289.29156,550650.171873,9.74422899999604,52.386512999987055,410,213
528968,37,1520698565,5804285.85891,550651.704593,9.744251000006404,52.386482000029744,413,214
528969,37,1520698566,5804281.20835,550653.794356,9.74428100000569,52.386440000004754,418,216
528970,37,1520698567,5804277.01601,550657.172616,9.744329999996976,52.38640199998586,422,219
528971,37,1520698568,5804272.36826,550659.534614,9.744364000000951,52.38636000001461,427,222
528972,37,1520698569,5804267.7093,550660.807711,9.744382000000078,52.38631800000784,431,223
528973,37,1520698570,5804264.82788,550661.858324,9.744397000000829,52.3862919999692,434,224
528974,37,1520698571,5804262.28856,550663.722183,9.744423999996243,52.38626900002687,437,226
528975,37,1520698572,5804260.18854,550665.037012,9.744443000004267,52.38625000001417,439,227
528976,37,1520698573,5804258.86641,550666.27577,9.744460999993583,52.38623799996273,440,228
528977,37,1520698574,5804257.9843,550667.033553,9.744471999997842,52.386230000021456,441,229
528978,37,1520698575,5804260.53273,550666.054427,9.74445799999772,52.38625300000568,439,228
528979,37,1520698577,5804259.30922,550666.067021,9.744458000002153,52.38624199996635,440,228
528980,37,1520698582,5804259.73942,550664.633251,9.74443699999819,52.386245999961325,439,227
528981,37,1520698586,5804257.95067,550663.766831,9.74442399999253,52.38622999996936,441,226
528982,37,1520698589,5804259.28471,550663.685037,9.744423000002191,52.38624200003285,440,226
528983,37,1520698593,5804260.95382,550663.735921,9.744423999996627,52.3862569999677,438,226
528984,37,1520698596,5804259.72612,550663.340174,9.744417999997715,52.38624600004413,439,225
528985,37,1520698599,5804260.51312,550664.14884,9.744429999993434,52.38625300004175,439,226
528986,37,1520698619,5804260.19344,550665.513408,9.744449999993469,52.38624999998261,439,228
528987,37,1520698627,5804259.73802,550664.497138,9.744435000003556,52.38624599997014,439,227
528988,37,1520698638,5804259.2826,550663.480867,9.744420000001648,52.38624199995586,440,226
528989,37,1520698650,5804257.60578,550662.681359,9.74440800000492,52.38622699997771,442,225
528990,37,1520698656,5804256.27455,550663.03538,9.74441300000171,52.38621499998732,443,225
528991,38,1520706599,5804273.74012,550663.127871,9.744417000003905,52.38637200003932,425,225
528992,38,1520706602,5804274.08361,550664.077227,9.744431000000096,52.38637500003852,425,226
528993,38,1520706605,5804275.42184,550664.403771,9.744435999995597,52.38638699998558,424,227
528994,38,1520706621,5804287.60366,550659.10556,9.744359999999771,52.38649699996681,412,221
528995,38,1520706622,5804291.93244,550658.176184,9.744346999993011,52.3865359999809,407,221
528996,38,1520706623,5804296.13949,550656.227113,9.744319000006966,52.38657400002553,403,219
528997,38,1520706624,5804299.45391,550654.014976,9.744286999994172,52.38660400000711,400,216
528998,38,1520706625,5804302.44305,550652.62295,9.744267000000525,52.38663099997488,397,215
528999,38,1520706626,5804304.54378,550651.376194,9.744249000005102,52.38665000004448,395,214
529000,38,1520706627,5804305.4308,550651.094813,9.744245000000204,52.38665800003464,394,214
529001,38,1520706631,5804304.08976,550650.496043,9.744235999998056,52.38664600000116,395,213
529002,38,1520706643,5804304.96768,550649.329934,9.74421900000144,52.38665400002498,394,212
529003,38,1520706644,5804306.62769,550648.496094,9.74420700000208,52.38666899999314,392,211
529004,38,1520706645,5804309.17543,550647.448931,9.744192000007905,52.38669200003577,390,210
529005,38,1520706646,5804312.16597,550646.193023,9.744174000006415,52.38671899998251,387,209
529006,38,1520706647,5804314.2674,550645.014327,9.74415699999539,52.38673800003554,385,208
529007,38,1520706648,5804315.92671,550644.112434,9.744143999995082,52.38675299999901,383,207
529008,38,1520706649,5804317.58112,550642.734151,9.74412400000283,52.38676799997348,381,205
529009,38,1520706650,5804320.11766,550640.598099,9.744092999998164,52.38679100003012,379,203
529010,38,1520706651,5804322.22958,550640.440245,9.74409099999396,52.38680999995991,377,203
529011,38,1520706652,5804324.80113,550641.706986,9.744110000004826,52.38683300002607,374,204
529012,38,1520706653,5804327.82458,550643.649705,9.7441390000068,52.38685999997018,371,206
529013,38,1520706654,5804330.40243,550645.528943,9.74416700000092,52.38688300000995,369,208
529014,38,1520706655,5804334.20798,550647.803924,9.744201000000157,52.386916999976776,365,211
529015,38,1520706656,5804337.68476,550650.558724,9.744241999997278,52.3869480000352,361,213
529016,38,1520706657,5804341.49591,550653.378142,9.744283999995677,52.38698199995581,358,216
529017,38,1520706658,5804345.30848,550656.333667,9.74432800000305,52.38701600003431,354,219
529018,38,1520706659,5804350.01086,550659.280029,9.744372000003722,52.38705799998496,349,222
529019,38,1520706660,5804354.27044,550662.43513,9.74441899999537,52.38709600000725,345,225
529020,38,1520706661,5804358.19493,550665.45755,9.744463999992416,52.387130999960725,341,229
529021,38,1520706662,5804362.45101,550668.272365,9.74450599999859,52.387168999971216,337,231
529022,38,1520706663,5804365.03728,550670.96824,9.744546000004584,52.3871920000405,334,234
529023,38,1520706664,5804367.95652,550673.592621,9.74458499999806,52.38721799998147,331,237
529024,38,1520706665,5804370.9905,550676.55613,9.744629000001222,52.387244999989285,328,240
